id,timestamp,child_id,type,description,points
57a6789d,2026-09-14T11:35:03.826Z,f6d37306,adjustment,First to get dressed,3
22deb122,2026-09-14T11:37:25.467Z,088b7b70,adjustment,From Sunday listening,1
8b16bffd,2026-09-14T12:09:28.134Z,088b7b70,adjustment,Screaming before school,-2
44c10513,2026-09-14T22:14:25.577Z,f6d37306,adjustment,Good behavior at the store,2
7eee1073,2026-09-14T22:38:48.688Z,f6d37306,adjustment,Screaming at dinner,-1
0533883e,2026-09-14T22:48:37.432Z,2fca80bc,chore,Clean Room,2
884c80dc,2026-09-15T00:50:26.273Z,f6d37306,chore,Clean Room,2
577bd84e,2026-09-15T00:50:26.275Z,f6d37306,chore,Put Away Clean Laundry,1
34730f47,2026-09-15T00:50:26.275Z,f6d37306,redemption,+15 min special time,-5
fc880ea6,2026-09-16T00:24:20.465Z,f6d37306,adjustment,Good behavior at eye appointment,2
8233da6b,2026-09-16T00:24:20.468Z,088b7b70,adjustment,Good behavior at eye appointment,2
43beaf87,2026-09-16T00:24:20.468Z,2fca80bc,adjustment,Good behavior at eye appointment,2
728a1563,2026-09-16T00:27:05.451Z,f6d37306,chore,Take Out Trash,1
